"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2065630738741961029","#水瀬いのり 「Summer Challenger」🎨☀️
法人別オリジナル特典をピックアップ！
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
✷ Amazon ✷
メガジャケ

唯一こちらのビジュアルでの特典です✨

💿ご予約はこちら
https://t.co/15jvZr9kzf

#サマチャレ
(スタッフ) https://t.co/L3t808LHnl","ja","Tweet","水瀬いのりinfo","inoriminase","33859","3","224","9","1259","26","2026-06-13 12:02:00","https://x.com/inoriminase/status/2065630738741961029","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #サマチャレ","https://inoriminase.lnk.to/Summer_Challenger_CD_shop","photo","https://pbs.twimg.com/media/HKnpEU4bgAAv8Ak.jpg"
"2065630486882390517","#水瀬いのり 「Summer Challenger」🎨☀️
法人別オリジナル特典をピックアップ！
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
✷ HMV ✷
ブロマイド

ブロマイドのコメントにもご注目ください😎

💿ご予約はこちら
https://t.co/15jvZr9kzf

#サマチャレ
(スタッフ) https://t.co/JCHIuCH6nm","ja","Tweet","水瀬いのりinfo","inoriminase","34934","2","217","12","1435","41","2026-06-13 12:01:00","https://x.com/inoriminase/status/2065630486882390517","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #サマチャレ","https://inoriminase.lnk.to/Summer_Challenger_CD_shop","photo","https://pbs.twimg.com/media/HKnnjg9a8AA6fQu.jpg"
"2065630237736698062","#水瀬いのり 「Summer Challenger」🎨☀️
法人別オリジナル特典をピックアップ！
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣
✷ アニメイト ✷
56mm缶バッジ＋ブロマイド

特典選びの参考に💛

💿ご予約はこちら
https://t.co/15jvZr9SoN

#サマチャレ
(スタッフ) https://t.co/tttMi8xlPY","ja","Tweet","水瀬いのりinfo","inoriminase","33941","6","257","11","1573","63","2026-06-13 12:00:00","https://x.com/inoriminase/status/2065630237736698062","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #サマチャレ","https://inoriminase.lnk.to/Summer_Challenger_CD_shop","photo","https://pbs.twimg.com/media/HKnnXGPbwAAqpLB.jpg"
"2065343599223722057","━━━━━━━━━━━━━━
                 Inori Minase 
   10th ANNIVERSARY POP UP
                Travel Record
━━━━━━━━━━━━━━

#水瀬いのり 10周年記念 POP UP SHOP
一部開催日時にて、事前予約入場を実施！
購入特典に関する情報も解禁しました🛒💫

＜事前予約（先着）お申込み期間＞
2026/6/19(金) 17:00～各回入場時間10分前まで
※各回無くなり次第終了とさせていただきます。
※対象日時以外はフリー入場を予定しております。

詳細はマルイ公式HPをご確認ください📋
https://t.co/V4d4UOmq3s

#水瀬いのり10周年_POPUP
(スタッフ)","ja","Tweet","水瀬いのりinfo","inoriminase","188036","18","684","127","3005","339","2026-06-12 17:01:00","https://x.com/inoriminase/status/2065343599223722057","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#水瀬いのり, #水瀬いのり10周年_POPUP","","photo","https://pbs.twimg.com/media/HKmTDTiakAA4bZA.jpg"
"2064984722200309976","#いのり図鑑 👠 https://t.co/vMSLc301y8","qme","Tweet","水瀬いのりinfo","inoriminase","101585","36","697","40","4743","186","2026-06-11 17:14:57","https://x.com/inoriminase/status/2064984722200309976","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#いのり図鑑","","photo","https://pbs.twimg.com/media/HKhMqL7bAAA0YOs.jpg
https://pbs.twimg.com/media/HKhMqL3asAAb3ch.jpg"
"2064905465855725766","／
""Inori Minase OPEN AIR LIVE 2026 Summer Challenger""
FC会員先行優先予約2次受付まもなく終了🎫
＼

📅受付期間
本日6/11(木)17:00まで！

今からのご入会でも間に合います📣
6/11(木)までにご入会いただいた方には会報誌を先着でプレゼント🍀

詳細はこちら🔗
https://t.co/dQMnOFX9GU

#水瀬いのり #いのりまち #水瀬いのりOPENAIRLIVE
(スタッフ)","ja","Tweet","水瀬いのりinfo","inoriminase","32557","4","178","5","1029","13","2026-06-11 12:00:01","https://x.com/inoriminase/status/2064905465855725766","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#水瀬いのり, #いのりまち, #水瀬いのりOPENAIRLIVE","https://www.inorimachi.com/news/2026/0601150000.html","photo","https://pbs.twimg.com/media/HKgEUEib0AAOetp.png"
"2064574404944953592","⁺⊹🩵TikTok更新🩵⊹⁺ 

📲https://t.co/unUz9czBLv

#声グラ 7月号の #いのり図鑑 は
ダルメシアン🐾🤍❤️ 

#声優グランプリ 
#水瀬いのり 
(スタッフ)","ja","Tweet","水瀬いのりinfo","inoriminase","46405","5","257","11","1309","31","2026-06-10 14:04:30","https://x.com/inoriminase/status/2064574404944953592","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#声グラ, #いのり図鑑, #声優グランプリ, #水瀬いのり","https://vt.tiktok.com/ZSQSwFqqL/","",""
"2064307501722681513","#いのりまち 生放送🪼
ありがとうございました！

あれあれあれれー！な瞬間もあってみんなも嬉しかったでしょ！
いろいろ楽しみが増える時間だったね！

来月7/22は #サマチャレ 発売だ🌻
みんな予定空けておいてね😎 https://t.co/Ud5W4yyhGz","ja","Tweet","水瀬いのりinfo","inoriminase","99689","85","846","47","5194","196","2026-06-09 20:23:56","https://x.com/inoriminase/status/2064307501722681513","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#いのりまち, #サマチャレ","","photo","https://pbs.twimg.com/media/HKXkuw9aEAAac2w.jpg"
"2064286891080634429","☆公式サイト【NEWS】更新

【アニメ出演情報】TVアニメ『ふつつかな悪女ではございますが ～雛宮蝶鼠とりかえ伝～』
https://t.co/7jdIh9zsFU
 
#水瀬いのり #ふつつかな悪女
(スタッフ)","ja","Tweet","水瀬いのりinfo","inoriminase","43982","1","203","5","1136","20","2026-06-09 19:02:02","https://x.com/inoriminase/status/2064286891080634429","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #ふつつかな悪女","https://www.inoriminase.com/news/?id=1781","",""
"2064271289548673114","【いのりまち】
「まちの映画館～町内""生""放送～」
このあと19:00より放送開始🎥

ぜひご覧ください！

詳細📝
https://t.co/7UwK3HrNac

#水瀬いのり #いのりまち
(スタッフ) https://t.co/vZRXxlYxzo","ja","Tweet","水瀬いのりinfo","inoriminase","36746","6","191","19","1088","16","2026-06-09 18:00:02","https://x.com/inoriminase/status/2064271289548673114","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #いのりまち","https://www.inorimachi.com/news/2026/0603150000.html","photo","https://pbs.twimg.com/media/HKVqE5Ba0AA2fOt.png"
