"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2065358473903403111","【7th EVENT情報！】
6月20日(土)、21日(日)に有明アリーナにて『7th EVENT WORLD TOUR 「THE STAGE」 in TOKYO』を開催予定！

明日6月13日(土)10:00から「一般発売」が受付開始！

お見逃しなく♪
https://t.co/5YyDFM76tS

#ウマ娘 #ウマ娘7th https://t.co/gF2N5wQdN8","ja","Retweet","ウマ娘プロジェクト公式アカウント","uma_musu","304144","39","822","104","3237","268","2026-06-12 18:00:07","https://x.com/uma_musu/status/2065358473903403111","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#ウマ娘, #ウマ娘7th","https://ts7th.umamusume.jp/?utm_source=t.co&utm_medium=referral&utm_campaign=X_03_remind#ticket","photo","https://pbs.twimg.com/media/HKmglcpbsAE32rl.jpg"
"2065739607426371952","アーモンドアイ役として参加させていただいてます❤️‍🔥
7th EVENT も近づいてきたね〜😎🫶🏻🫶🏻
たのしもうーー！！夏織　#ウマ娘 
#ウマ娘7th","ja","Tweet","石原夏織 official","kaori_staff_","15834","15","118","0","732","7","2026-06-13 19:14:36","https://x.com/kaori_staff_/status/2065739607426371952","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ウマ娘, #ウマ娘7th","","",""
"2064550643948548440","【音楽配信情報！】
7th EVENTテーマ曲「You! Aim! A!!」が、本日から各音楽配信プラットフォームにて配信開始！

#ウマ娘7th に向けてぜひチェックしてください♪
https://t.co/s5eCjE8tiZ

#ウマ娘 https://t.co/LN1JMeAuMf","ja","Quoted","ウマ娘プロジェクト公式アカウント","uma_musu","632303","73","1755","166","6266","477","2026-06-10 12:30:05","https://x.com/uma_musu/status/2064550643948548440","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#ウマ娘7th, #ウマ娘","https://lnk.to/LZC-3513","photo","https://pbs.twimg.com/media/HKbB3hxbsAAqT5k.jpg"
"2065427668846428439","ゴ、ゴンチャか春水堂のみたい〜🧋🥺✨夏織","ja","Tweet","石原夏織 official","kaori_staff_","13573","20","43","2","429","5","2026-06-12 22:35:04","https://x.com/kaori_staff_/status/2065427668846428439","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2065388652704968929","「石原夏織のCarry up!? NEXT」
＼毎週月曜日・隔週で配信📻／

📢次回配信日
6月15日(月)20：00〜
https://t.co/QaOEIb0ztp

2nd E.P「#ASOVIVA !!!」LINE MUSIC再生キャンペーンは6月30日まで🎧
8月23日(日)石原夏織 LIVE 2026「ASOVIVA!!!」開催🎡

💌お便りはGoogleフォームから
https://t.co/4Q5WrFtle1

#石原夏織
#carry_up_NEXT","ja","Tweet","石原夏織 official","kaori_staff_","6445","0","34","0","204","5","2026-06-12 20:00:02","https://x.com/kaori_staff_/status/2065388652704968929","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#ASOVIVA, #石原夏織, #carry_up_NEXT","https://youtu.be/MhbzK9w4TQU","photo","https://pbs.twimg.com/media/HKhjEDfa8AAiy1d.jpg"
"2065343345434456556","✩˖°⌖.꙳✩˖°⌖.꙳✩
          #石原夏織 FCイベント
「夏織姫と七夕祭り🎋 in 浅草花やしき」
      チケット先着販売のお知らせ⭐️
                               ✩˖°⌖.꙳✩˖°⌖.꙳✩
⁡
この後、6月12日(金)18:00〜より先着販売がスタート！
残り数枚の為、予定が開いた方、気になっている方はぜひチェックしてみてください🌠
⁡
🎪2026年7月4日(土) 
開場18:30／開演19:00／閉演21:00
⁡
📍 浅草花やしき🎠
⁡
🎫 FC会員様+同行者3名まで(非会員可)
https://t.co/oPRuel0xSj
⁡
#handinhand #石原夏織FC","ja","Tweet","石原夏織 official","kaori_staff_","8239","2","48","0","284","7","2026-06-12 17:00:00","https://x.com/kaori_staff_/status/2065343345434456556","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#石原夏織, #handinhand, #石原夏織FC","","photo","https://pbs.twimg.com/media/HKlHheYaIAE0GXs.jpg"
"2065002583027225071","【ファンクラブ】  
⁡
📽️MOVIE更新  
⁡
2nd E.P ASOVIVA!!! ジャケット撮影オフショット2
を更新しました💛😋(スタッフ)
https://t.co/2YYPDRjdTa
⁡
#石原夏織 #石原夏織FC #handinhand https://t.co/uo8kdeaxoK","ja","Tweet","石原夏織 official","kaori_staff_","9742","2","56","4","376","8","2026-06-11 18:25:56","https://x.com/kaori_staff_/status/2065002583027225071","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#石原夏織, #石原夏織FC, #handinhand","https://ishiharakaori-fc.com/movie/","photo","https://pbs.twimg.com/media/HKhc4UfbIAA_FCZ.jpg"
"2064305494265860277","【ファンクラブ】  
⁡
📽️MOVIE更新  
⁡
2nd E.P ASOVIVA!!! ジャケット撮影オフショット1
を更新しました🩷😋(スタッフ)
https://t.co/2YYPDRjdTa
⁡
#石原夏織 #石原夏織FC #handinhand https://t.co/wtzITLx1Aa","ja","Tweet","石原夏織 official","kaori_staff_","11029","3","73","2","554","18","2026-06-09 20:15:57","https://x.com/kaori_staff_/status/2064305494265860277","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#石原夏織, #石原夏織FC, #handinhand","https://ishiharakaori-fc.com/movie/","photo","https://pbs.twimg.com/media/HKXi3MHaEAA-hrL.jpg"
"2064269840651874650","お弁当おいしかった🍱😋夏織 https://t.co/mqMxt4TzfD","ja","Tweet","石原夏織 official","kaori_staff_","16501","26","77","5","813","16","2026-06-09 17:54:16","https://x.com/kaori_staff_/status/2064269840651874650","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HKXCeSbbwAAJFo8.jpg"
"2063981806626779517","知与ちゃーーーーーん🤎
きゃわわ🫶🏻✨✨夏織","ja","Tweet","石原夏織 official","kaori_staff_","61543","12","133","2","1347","33","2026-06-08 22:49:44","https://x.com/kaori_staff_/status/2063981806626779517","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
