URL,更新日,タイトル,本文
https://ishiharakaori-fc.com/news/?id=1,2021/02/21,石原夏織 オフィシャルファンクラブ「hand in hand」先行入会受付スタート！,石原夏織 オフィシャルファンクラブ「hand in hand」の先行入会受付がスタートいたしました！ 2021年5月30日（日）23:59までに入会いただくと 【会報誌０号】 をプレゼント！ さらに 【会員限定ページ】 も公開！ コンテンツは都度更新されますので、ぜひチェックください♪ 皆さまのご入会をお待ちしております！
https://ishiharakaori-fc.com/news/?id=3,2021/04/15,サポート窓口 ゴールデンウィーク休業のお知らせ,いつも当サイトをご利用いただきありがとうございます。 ゴールデンウィーク期間中のお問い合わせにつきまして、下記の通りご案内いたします。 【休業期間】 2021年4月29日(木)～5月5日(水) 期間中にいただいたお問い合わせは、承りました順に5月6日(木)から対応させていただきます。 通常よりお時間がかかる場合がございますので、恐れ入りますが、予めご了承いただきますようお願いいたします。 ご迷惑をおかけいたしますが、何卒よろしくお願い申し上げます。
https://ishiharakaori-fc.com/news/?id=4,2021/04/28,会報0号／会員の皆さんからのおたよりを大募集！,"会報0号の発行にあたり、ファンクラブ会員の皆さんから下記のテーマで投稿を募集します！ 皆さんの投稿が会報誌に掲載されるかも？！ 投稿をお待ちしております♪ ●テーマ ・6thシングル「Plastic Smile」の感想 ・2nd LIVE「MAKE SMILE」の感想 ●投稿可能なもの ・文字（500文字以内） ・写真（5MB/jpg,gif,png） ・イラスト（5MB/jpg,gif,png） ●締切 5月9日（日）23:59まで ☆郵送を希望の方は下記宛先までお送りください 〒106-8487 東京都港区六本木1-5-17 泉ガーデンANNEX 石原夏織 オフィシャルファンクラブ『hand in hand』係 宛"
https://ishiharakaori-fc.com/news/?id=5,2021/05/13,【重要】会員証＆会報0号　発送先住所確認のお願い,石原夏織 オフィシャルファンクラブ「hand in hand」会員の皆様にお知らせです。 会員証＆会報0号の発送にあたり、発送先住所のご確認をお願いいたします。 ●確認期間 2021年5月19日(水)23:59まで ●確認・変更方法 ログイン後、MYPAGE内 会員情報にてご確認・変更ください ※2021年6月1日（火）より順次発送を予定しております ※クロネコDM便での発送となります ※確認期間内に住所変更がされていなかった場合・住所不明による未着や紛失等があった場合、再送のご対応はできかねます。あらかじめご了承ください
https://ishiharakaori-fc.com/news/?id=6,2021/06/01,フレーム Vol.1・Vol.2更新☆,新コンテンツとして、AR CAMERA が登場です！ お手持ちのスマートフォンで好きなフレームを選択すると、夏織ちゃんと記念撮影ができちゃう？！ 撮影いただいた写真は、シェアボタンを使ってSNSへの投稿が可能となっています。 皆さまの投稿お待ちしています♪ こちら からお楽しみください！
https://ishiharakaori-fc.com/news/?id=9,2021/06/01,『hand in hand』グランドオープン！ を更新☆,MOVIEを更新しました！ 夏織ちゃんがファンクラブでやりたいことは…？！ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=10,2021/06/01,「hand in hand」スタート を更新☆,BLOGを更新しました！ グランドオープン第一号は、もちろん夏織ちゃんです♪ ご入会いただいた皆さまへの思いを綴ってくれました！ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=12,2021/06/01,『hand in hand』グランドオープン☆彡,本日12時より、『hand in hand』がグランドオープンいたしました！ 今回新しく加わった「AR CAMERA」などなど、会員の皆さまに楽しんでいただけるコンテンツが盛りだくさん♪ コンテンツは都度更新されますので、ぜひチェックしてくださいね！
https://ishiharakaori-fc.com/news/?id=13,2021/03/03,2nd LIVE「MAKE SMILE」終演後コメント！を更新☆,MOVIEを更新しました！ 2月20日（土）に開催された2nd LIVE「MAKE SMILE」終演後に夏織ちゃんからコメントをいただきました！ 2021/7/31までの限定公開となりますのでお見逃しなく♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=14,2021/04/28,会報０号♪『おたより』募集します！！ を更新☆,会報０号♪『おたより』募集します！！ スタッフブログを更新しました！ いよいよ会報0号に向けて編集作業、進んでます！ ぜひご覧ください♪ こちら からご覧ください！
