URL,更新日,タイトル,本文
https://www.inorimachi.com/fc_news/2017/1202100000.html,2017.12.02,ファンクラブカウンター設置のお知らせ,"「水瀬いのり 1st LIVE Ready Steady Go!」の会場におきまして、
ファンクラブカウンターを設置いたします。
【設置場所】
グッズ販売エリア付近
【対応時間】
グッズ販売開始時刻～終演後
ファンクラブカウンターにて、「いのりまち」の入会申込み受付を行います。
会場でのお手続きは手数料がかかりませんので、ぜひこの機会にお立ち寄りください。
※会場でのお手続きは現金のみの受付となります。
※開演中の受付はいたしません。
※開演前と終演後で場所が移動する場合がございます。"
https://www.inorimachi.com/fc_news/2017/1202100001.html,2017.12.02,水瀬いのりオフィシャルファンクラブ「いのりまち」入会申込み受付開始！,"水瀬いのりオフィシャルファンクラブ「いのりまち」の入会申込み受付を開始いたしました！
2017年12月末まで
にご入会(入金完了まで)くださった方には、
ファンクラブオリジナル特製トレカ
をプレゼント！
※会員証発送時に同封いたします。
【会費】
初年度　￥5,000
(入会金￥1,000＋年会費￥4,000)
継続時　￥4,000
(2年目以降)
【入会方法】
①ファンクラブページからのお申込み
https://www.inorimachi.com/
※会費のお支払いは「クレジットカード」「コンビニ」「ペイジー」「郵便振込」からお選びいただけます。
②ローソン／ミニストップ店頭端末Loppi
③ローチケHMV
http://l-tike.com/fc/inoriminase/
※会費のお支払いは、「クレジットカード」「ちょこむ決済」からお選びいただけます。
＜注意事項＞
・お申込み手数料として、別途216円がかかります。
・ご入会は、日本国内にてファンクラブからの発送物を受け取ることができる住所をお持ちの方のみに限らせていただきます。あらかじめご了承ください。
Due to our delivery service management, residential address in Japan is required to join our club.
・未成年者の入会は、入会手続きをされた時点で親権者のご同意を得ているものと判断し、関連した不測の事態が生じたとしても当会では一切の責任を負いかねます。
【会員サービスにつきまして】
●会員期間はご入金月の1日から1年間です。
2017年12月にご入会くださった方のみ、
2018年1月1日から2018年12月31日
の会員期間となります。
●2018年1月より順次サービスの開始を予定しております。
●
2017年12月17日(日)まで
にご入会(入金完了まで)くださった方の会員番号は先着順ではございません。"
https://www.inorimachi.com/fc_news/2017/1218180000.html,2017.12.18,会員番号のご案内につきまして,"本日までにご入会(ご入金完了まで)いただいた方へ、会員番号をメールにてご案内いたしました。
メールが届いていない方は、下記をご確認の上「いのりまち」へお問い合わせください。
-----------------------------------------------------
■パソコンからのメールを受信拒否にしている
ご自身で設定していなくても、自動的に拒否設定になっている場合がございます。「@inorimachi.com」からのメールが受信できるように設定を今一度ご確認ください。
なお、ドメイン受信設定をしていても、迷惑メールフィルターやなりすまし規制のレベルによって受信拒否されてしまう場合がございます。その場合は、ご契約されている携帯電話会社またはプロバイダまでお問い合わせください。
■迷惑メールフォルダに分類されている
Yahoo!メールやGmail、Hotmail等フリーメールやウイルスソフトをご利用になっている場合、自動的に迷惑メールフォルダに振り分けられている可能性がございます。「ゴミ箱」や「迷惑メール」フォルダを今一度ご確認ください。
■メールボックスの容量がいっぱいになっている
容量がいっぱいになっていると、新着のメールを受け取ることができません。メールサーバーをご確認ください。
-----------------------------------------------------
会員サービスの開始は2018年1月を予定しております。
サービス開始まで今しばらくお待ちください。
なお、会員番号に関するお問い合わせにはお答えいたしかねます。"
https://www.inorimachi.com/fc_news/2018/0123130000.html,2018.01.23,まちの新聞「『水瀬いのり 1st LIVE Ready Steady Go!』グッズ撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「『水瀬いのり 1st LIVE Ready Steady Go!』グッズ撮影編」
の掲載を開始しました！
撮影に挑む町長の様子を、数回に分けてレポートします！
※1月23日 後半更新しました！
ぜひチェックしてくださいね♪"
https://www.inorimachi.com/fc_news/2018/0129170000.html,2018.01.29,会員証発送開始のお知らせ,"本日より会員証の発送を開始いたしました！
＜2017年12月中にご入会いただいた方へ＞
ファンクラブオリジナル特製トレカを同封しております。
2月15日(木)
になりましてもお手元に届かない場合は、
下記期間内にファンクラブまでお問い合わせください。
■未着問い合わせ期間
2018年2月15日(木)～2月27日(火)
■お問い合わせ先
TEL：03-6273-2233
MAIL：
contact@inorimachi.com
件名：会員証未着
本文：会員番号・氏名・住所・お問い合わせの詳細
※未着問い合わせ期間以降にご連絡をいただきましても対応いたしかねますのでご注意ください。
＜2018年1月以降にご入会いただいた方へ＞
発送完了後、メールにてご案内いたします。
今しばらくお待ちください。"
https://www.inorimachi.com/fc_news/2018/0206180000.html,2018.02.06,まちの新聞「『水瀬いのり 1st LIVE Ready Steady Go!』SHORT MOVIE撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「『水瀬いのり 1st LIVE Ready Steady Go!』SHORT MOVIE撮影編」
の掲載を開始しました！
オフショットたっぷりで数回に分けてお届けします！
----------
※2月2日 その3＆4 更新しました！
※2月6日 その5＆おまけ 更新しました！
----------
ぜひチェックしてくださいね♪"
https://www.inorimachi.com/fc_news/2018/0216160000.html,2018.02.16,まちの新聞「『水瀬いのり 1st LIVE Ready Steady Go!』通しリハーサル編」更新！,"ファンクラブページ内
「まちの新聞」
で
「『水瀬いのり 1st LIVE Ready Steady Go!』通しリハーサル編」
の掲載を開始しました！
普段見られないリハーサル風景を徹底取材！
----------
※2月14日 その3＆4 更新しました！
※2月16日 その5＆6 更新しました！
----------
ぜひチェックしてくださいね♪"
https://www.inorimachi.com/fc_news/2018/0305150000.html,2018.03.05,ファンクラブ会報「いのりまちだより」発行決定！,"ファンクラブ会報
「いのりまちだより」
の発行が決定しました！
1号の発送は3月下旬を予定しております。
住所変更を希望される方は
【3月16日(金)15:00まで】
に「まち役場」よりお手続きください。
※会報1号は、3月31日(土)までにご入会(入金完了まで)くださった方にお送りします。
※変更手続きがなく発送物未着のお問い合わせをいただいたいた場合、対応をいたしかねます。
※発送完了後は、まちの回覧板にてお知らせします。"
https://www.inorimachi.com/fc_news/2018/0313150000.html,2018.03.13,まちの新聞「『水瀬いのり 1st LIVE Ready Steady Go!』当日レポート」更新！,"ファンクラブページ内
「まちの新聞」
で
「『水瀬いのり 1st LIVE Ready Steady Go!』当日レポート」
の掲載を開始しました！
LIVE Blu-rayの発売を前に、ライブ当日の様子をオフショット満載でレポートします！
----------
※3月9日 その3＆4 更新しました！
※3月13日 その5＆6 更新しました！
----------
お見逃しなく♪"
https://www.inorimachi.com/fc_news/2018/0316150000.html,2018.03.16,まちの映画館「1st LIVE Blu-ray ジャケット撮影風景」更新！,"ファンクラブページ内
「まちの映画館」
を更新しました！
4月4日(水)の発売にさきがけて、「Inori Minase 1st LIVE Ready Steady Go!」のジャケット撮影風景をお届けします！
ぜひチェックしてくださいね♪"
https://www.inorimachi.com/fc_news/2018/0330160000.html,2018.03.30,ファンクラブ会報「いのりまちだより」1号発送開始のお知らせ,"ファンクラブ会報「いのりまちだより」1号の発送を、3月30日(金)に開始いたしました！
4月13日(金)
になりましてもお手元に届かない場合は、
下記期間内にファンクラブまでお問い合わせください。
■未着問い合わせ期間
2018年4月13日(金)～4月27日(金)
■お問い合わせ先
TEL：03-6273-2233（平日12時～18時）
MAIL：contact@inorimachi.com
件名：会報1号未着
本文：会員番号・氏名・住所・お問い合わせの詳細
※未着問い合わせ期間以降にご連絡をいただきましても対応いたしかねますのでご注意ください。
※初回発送は、3月11日(日)までにご入会手続きを完了された方が対象です。
※3月12日(月)以降にご入会いただいた方へは、4月上旬より順次発送いたします。"
https://www.inorimachi.com/fc_news/2018/0402120000.html,2018.04.02,プライバシーポリシー改定のお知らせ,"水瀬いのりを応援くださり誠にありがとうございます。
2018年4月2日付けで、プライバシーポリシーを改定いたしました。
何卒ご理解くださいますようお願い申し上げます。
プライバシーポリシーは
こちら"
https://www.inorimachi.com/fc_news/2018/0404150000.html,2018.04.04,まちの新聞「1st LIVE Blu-ray『Inori Minase 1st LIVE Ready Steady Go!』ジャケット撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「1st LIVE Blu-ray『Inori Minase 1st LIVE Ready Steady Go!』ジャケット撮影編」
の掲載を開始しました！
まもなく発売となる、1st LIVE Blu-ray「Inori Minase 1st LIVE Ready Steady Go!」、ジャケット撮影現場の様子をレポート！
----------
※4月4日 その3＆4 更新しました！
----------
ぜひチェックしてくださいね♪"
https://www.inorimachi.com/fc_news/2018/0509000000.html,2018.05.09,【千葉公演】「Inori Minase LIVE TOUR 2018 BLUE COMPASS」会員先行優先予約2次受付のご案内,"「Inori Minase LIVE TOUR 2018 BLUE COMPASS」千葉公演の、ファンクラブ会員チケット先行優先予約2次受付が決定いたしました！
>> 公演情報はこちら！
●申し込み方法
ファンクラブページ
「チケット」
より、『申込受付期間』内に画面の案内に従ってお手続きください。
《申込受付期間》
5月10日(木)15:00～5月15日(火)18:00
《当落発表》
5月23日(水)15:00予定
《決済方法選択期間》
5月23日(水)15:00～5月28日(月)23:59
《チケット発送》
6月中旬
【ご注意】
※すでに千葉公演が当選されている方が、2次受付にて当選することはございません。
※「チケット」ページ記載の注意事項を必ずご確認ください。ご了承いただきました上でのお手続きとなります。
※受付は先着順ではございません。申し込み者多数の場合、抽選にて当落を決定いたします。
※受付開始・終了間際は、アクセスが集中し繋がりにくくなる場合もございます。時間に余裕をもってお手続きください。
※いかなる理由におきましても、申込受付期間終了後の申込み・キャンセル・変更はできません。
ご不明な点のある方は、必ず申込受付期間内にファンクラブまでお問い合わせください。
---------------------------
♪入会をご検討の方へ
チケットの申込受付期間終了までに、ファンクラブページより【クレジットカード決済・コンビニ／ペイジー支払】にてご入会(入金完了まで)いただきますとチケットのお申し込みが可能です！
>> ご入会はこちらから！
【ご注意】
※Loppi／ローソンチケット、郵便振込からのお手続きは期日が異なります。
下記期日を過ぎた場合、チケットはお申し込みいただけません。ご注意ください。
・Loppi／ローソンチケット：5月13日(日)
・郵便振込：5月12日(土)
※チケット申込受付期間は
5月15日(火)18:00
に終了しますので、時間に余裕を持ってお手続きください。"
https://www.inorimachi.com/fc_news/2018/0523150000.html,2018.05.23,【2次受付】「Inori Minase LIVE TOUR 2018 BLUE COMPASS」会員先行優先予約当落結果のご案内,"「Inori Minase LIVE TOUR 2018 BLUE COMPASS」ファンクラブ会員チケット先行優先予約
2次受付にお申し込みいただきました方へ、当落結果のご案内を開始いたしました。
●当落結果について
ファンクラブページ「チケット」よりご確認いただけます。
また、ファンクラブ登録のメールアドレス宛に『当落結果のお知らせ』メールをお送りしております。
●支払方法
当選された方は、ファンクラブページ「チケット」より『決済方法選択期間』内に決済方法を選択し、案内に従ってお手続きください。
《決済方法選択期間》
5月28日(月)23:59まで
《決済方法／支払期限》
クレジットカード：決済方法選択後、即時決済
コンビニ／ペイジー／郵便振込み：5月29日(火)消印有効
【ご注意】
・いかなる理由におきましても、当選されたチケットのキャンセル・変更はできません。
・一度選択された決済方法の変更はできません。
・入金に不備・不明な点がある場合、選択した決済方法以外での入金や支払期限後の入金はすべて手数料を差し引き返金いたします。
その際、当選は無効となりチケットのご用意はできかねます。
・当選確定後にチケット代金のご入金がない場合、次回以降の当落結果・座席の決定に影響が生じる可能性がございます。"
https://www.inorimachi.com/fc_news/2018/0531150000.html,2018.05.31,まちの新聞「2nd ALBUM『BLUE COMPASS』ジャケット撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「2nd ALBUM『BLUE COMPASS』ジャケット撮影編」
の掲載を開始しました！
5月23日(水)に発売となった、2nd ALBUM「BLUE COMPASS」のジャケット撮影現場をレポート！
----------
※5月31日 その4＆5＆6 更新しました！
----------
アルバムとあわせてぜひチェックしてください♪"
https://www.inorimachi.com/fc_news/2018/0607150000.html,2018.06.07,ファンクラブカウンター設置のお知らせ,"「Inori Minase LIVE TOUR 2018 BLUE COMPASS」の各会場におきまして、
ファンクラブカウンターを設置いたします。
【設置場所】
グッズ販売エリア付近
【対応時間】
グッズ販売開始時刻～終演後
※開演中の受付はいたしません。
ファンクラブカウンターにて、「いのりまち」の入会申込み受付を行います。
会場でのお手続きは手数料がかかりませんので、ぜひこの機会にお手続きください。
当日は町長の直筆メッセージがみなさまをお出迎えいたします！
ぜひお立ち寄りください♪"
